Sexo,Total de personas,Contar recuerdos bonitos o historias graciosas,Jugar juegos de mesa,Jugar mejenga,Participar en juegos tradicionales
Hombres,1905706,68.7,51.4,63.5,37.2
Mujeres,1809434,76.4,51.8,26,45.1
